Anyone that thinks they're the Ravenkeeper and learns they died at night must pick that night,Hermit,Drunk,Klutz,Ravenkeeper,
Anyone that thinks they're the Sage and learns they died at night must pick that night,Hermit,Drunk,Klutz,Ravenkeeper,
Anyone that thinks they're the Ravenkeeper and learns they died at night must pick that night,Hermit,Drunk,Moonchild,Sage,
Anyone that thinks they're the Sage and learns they died at night must pick that night,Hermit,Drunk,Moonchild,Sage,
A Demon that thinks they have the Ravenkeeper ability and learns they died at night must pick that night,Hermit,Lunatic,Klutz,Boffin,Ravenkeeper
A Demon that thinks they have the Sage ability and learns they died at night must pick that night,Hermit,Lunatic,Klutz,Boffin,Sage
A Demon that thinks they have the Ravenkeeper ability and learns they died at night must pick that night,Hermit,Lunatic,Moonchild,Boffin,Ravenkeeper
A Demon that thinks they have the Sage ability and learns they died at night must pick that night,Hermit,Lunatic,Moonchild,Boffin,Sage
The Marionette reminder token is removed when the Spy sees the Grimoire,Magician,Marionette,Spy,,
The Marionette reminder token is removed when the Widow sees the Grimoire,Magician,Marionette,Widow,,
The No Dashii poisoned reminder tokens are removed when the Spy sees the Grimoire,Magician,No Dashii,Spy,,
The No Dashii poisoned reminder tokens are removed when the Widow sees the Grimoire,Magician,No Dashii,Widow,,
! Vigormortis doesn't care about killing Minions due to the jinx,Magician,Wraith,Vigormortis,,
! Vigormortis doesn't care about killing Minions due to the jinx,Alchemist,Spy,Vigormortis,,
! Vigormortis doesn't care about killing Minions due to the jinx,Alchemist,Widow,Vigormortis,,
! Vigormortis doesn't care about killing Minions due to the jinx,Alchemist,Wraith,Vigormortis,,
!! Lycanthrope kill prevents the jinx from having any effect,Magician,Wraith,Lycanthrope,,
!! Lycanthrope kill prevents the jinx from having any effect,Alchemist,Spy,Lycanthrope,,
!! Lycanthrope kill prevents the jinx from having any effect,Alchemist,Widow,Lycanthrope,,
!! Lycanthrope kill prevents the jinx from having any effect,Alchemist,Wraith,Lycanthrope,,
!! Riot prevents the jinx from having any effect,Magician,Wraith,Riot,,
!! Riot prevents the jinx from having any effect,Alchemist,Spy,Riot,,
!! Riot prevents the jinx from having any effect,Alchemist,Widow,Riot,,
!! Riot prevents the jinx from having any effect,Alchemist,Wraith,Riot,,
!! Leviathan prevents the jinx from having any effect,Magician,Wraith,Leviathan,,
!! Leviathan prevents the jinx from having any effect,Alchemist,Spy,Leviathan,,
!! Leviathan prevents the jinx from having any effect,Alchemist,Widow,Leviathan,,
!! Leviathan prevents the jinx from having any effect,Alchemist,Wraith,Leviathan,,
! Activated Banshee can get up to 12 votes,Banshee,God of Ug,Bureaucrat,,
! Activated Banshee can get up to -4 votes,Banshee,God of Ug,Thief,,
? Someone pit-hagged into the Lunatic can be made to believe they are the Drunk who got jumped to by the Fang Gu,Lunatic,Pit-Hag,Fang Gu,Drunk,
? Someone cacklejacked into the Lunatic can be made to believe they are the Drunk who got jumped to by the Fang Gu (don't unless the Cacklejack is evil),Lunatic,Cacklejack,Fang Gu,Drunk,
? Someone barbered into the Lunatic can be made to believe they are the Drunk who got jumped to by the Fang Gu,Lunatic,Barber,Fang Gu,Drunk,
? A Canibal eating a Lunatic can be made to believe they are the Drunk who got jumped to by the Fang Gu (until they change abilities),Lunatic,Cannibal,Fang Gu,Drunk,
"? During a fiddle contest, players sat next to a Recluse can still suspect they're the Marionette",Fiddler,Marionette,Recluse,,
"? During a fiddle contest, players sat next to a Minion (in theory, most players) can still suspect they're the Marionette",Fiddler,Marionette,Lil' Monsta,,
!! Alchemist-Summoner + Marionette can result in games where there are no evil players until night 3,Alchemist,Summoner,Marionette,,
! Clockmaker no on 5-12 players,Clockmaker,Summoner,Marionette,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Leviathan,Soldier,Spy,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Leviathan,Soldier,Widow,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Leviathan,Exorcist,Spy,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Leviathan,Innkeeper,Spy,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Leviathan,Monk,Spy,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Riot,Soldier,Spy,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Riot,Soldier,Widow,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Riot,Exorcist,Spy,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Riot,Innkeeper,Spy,,
"! Good can't win through the jinx with this Minion in-play, making it useless",Riot,Monk,Spy,,
